customer_id,name,age,gender,city,signup_date,total_orders,total_spent,is_active
2001,Amit,32.0,Male,Delhi,2023-02-10,12.0,34500.0,True
2002,Neha,25.0,Female,Mumbai,2023-08-22,3.0,8900.5,True
2003,Rohan,45.0,Male,,2021-11-05,25.0,150000.0,True
2004,Sneha,-10.0,Female,Pune,2022-04-18,6.0,12000.75,True
2005,Karan,28.0,MALE,Bangalore,2024-01-15,1.0,2500.0,False
2006,Pooja,30.0,Female,Hyderabad,invalid_date,8.0,24000.0,True
2007,Vikash,200.0,Male,Chennai,2020-03-30,5.0,18000.0,True
2008,Deepa,35.0,Female,Delhi,2022-09-12,,32000.0,True
2009,Rahul,29.0,Male,Mumbai,2023-05-20,4.0,-5000.0,True
2010,,27.0,Female,Bangalore,2023-10-08,7.0,15000.0,True
2011,Sanjay,40.0,Male,Pune,2021-07-25,15.0,85000.0,
2012,Anita,26.0,,Chennai,2023-12-05,2.0,5000.0,False
2013,Manoj,33.0,Male,Delhi,2022-02-14,0.0,,True
2014,Kavita,31.0,Female,Mumbai,2020-08-19,10.0,45000.0,True
2015,Ravi,24.0,Male,Hyderabad,2024-02-28,999.0,5000000.0,True
